query,clicks,impressions,ctr,position,type
למה משמש שול הדרך בדרך מהירה,0,4,0.00%,53.5,NON_BRANDED
למה מתגרשים,0,1,0.00%,97.0,NON_BRANDED
למי מותר לנסוע בכיוון ההפוך לכיוון התנועה בכביש חד-סטרי,0,1,0.00%,43.0,NON_BRANDED
למי מותרת החנייה בתחנת אוטובוס מלבד לאוטובוס עצמו,0,2,0.00%,78.0,NON_BRANDED
לנסוע בלי ביטוח,0,1,0.00%,74.0,NON_BRANDED
לעניין אינדקס אתרים,0,1,0.00%,35.0,NON_BRANDED
לפרז,0,1,0.00%,57.0,NON_BRANDED
"לצפייה במכתב יש להיכנס לאזור האישי שלך באתר רשות המסים תחת"" מכתבים.""",0,1,0.00%,10.0,NON_BRANDED
לצרציה,0,2,0.00%,31.0,NON_BRANDED
לקנות דירה בארץ או בחול,0,1,0.00%,63.0,NON_BRANDED
לשון הרע בגוגל,0,5,0.00%,63.0,NON_BRANDED
לשון הרע בכתבי טענות,0,1,0.00%,38.0,NON_BRANDED
לשון הרע פסיקה,0,4,0.00%,53.0,NON_BRANDED
לשכת המס,0,1,0.00%,76.0,NON_BRANDED
לשכת מס הכנסה,0,1,0.00%,60.0,NON_BRANDED
לשכת עורכי הדין איתור עורך דין,0,6,0.00%,18.8,NON_BRANDED
לשכת עורכי הדין חיפוש,0,1,0.00%,11.0,NON_BRANDED
לשכת עורכי הדין חיפוש עורך דין,0,1,0.00%,18.0,NON_BRANDED
לשכת עורכי הדין מתמחים צור קשר,0,1,0.00%,67.0,NON_BRANDED
לשכת עורכי הדין קורסים,0,2,0.00%,36.0,NON_BRANDED
םמך,0,2,0.00%,34.5,NON_BRANDED
מ ה ניכויים,0,1,0.00%,57.0,NON_BRANDED
מאגר מומחים מרבד,0,1,0.00%,37.0,NON_BRANDED
מאגר עורכי דין,0,61,0.00%,13.9,NON_BRANDED
מאגר עורכי דין בישראל,0,1,0.00%,9.0,NON_BRANDED
מאגר עורכי דין סיוע משפטי,0,6,0.00%,26.2,NON_BRANDED
מאגר עורכי הדין,0,1,0.00%,10.0,NON_BRANDED
מאגר פסקי דין בחינם,0,3,0.00%,11.0,NON_BRANDED
מאיה לוי שופטת,0,1,0.00%,25.0,NON_BRANDED
מאיה רוזמן מצב משפחתי,0,1,0.00%,76.0,NON_BRANDED
מאיה רוזמן נשואה,0,1,0.00%,18.0,NON_BRANDED
מאיה רוטנברג,0,1,0.00%,39.0,NON_BRANDED
מאיה רוטנברג עורכת דין,0,1,0.00%,34.0,NON_BRANDED
מאיזה סכום משלמים מיסים,0,1,0.00%,26.0,NON_BRANDED
מבחן מירב הזיקות,0,3,0.00%,11.0,NON_BRANDED
מבחן מרב,0,4,0.00%,33.8,NON_BRANDED
מבנה בתי המשפט בישראל,0,2,0.00%,20.0,NON_BRANDED
מבנה מערכת המשפט,0,3,0.00%,24.7,NON_BRANDED
מבנה מערכת המשפט בישראל,0,2,0.00%,24.0,NON_BRANDED
מגמות בבנייה ירוקה בישראל,0,6,0.00%,42.0,NON_BRANDED
מגמות עדכניות בבנייה ירוקה בישראל,0,1,0.00%,17.0,NON_BRANDED
מגן אלטוביה,0,5,0.00%,34.2,NON_BRANDED
מגשרים לגירושין,0,3,0.00%,69.3,NON_BRANDED
מדיניות ציות קריפטו,0,3,0.00%,23.3,NON_BRANDED
מדינת ישראל האוצר רשות המיסים,0,1,0.00%,28.0,NON_BRANDED
"מה אסור לשלוח בדואר לחו""ל",0,2,0.00%,96.0,NON_BRANDED
מה גובה המזונות לילד,0,7,0.00%,59.7,NON_BRANDED
מה ההבדל בין בית משפט השלום למחוזי,0,1,0.00%,1.0,NON_BRANDED
מה ההבדל בין משכיר לשוכר,0,1,0.00%,11.0,NON_BRANDED
מה ההבדל בין רשם לשופט,0,8,0.00%,1.0,NON_BRANDED
מה ההבדל בין שוכר למשכיר,0,20,0.00%,10.9,NON_BRANDED
מה הזכויות שלי בחקירה פלילית,0,1,0.00%,93.0,NON_BRANDED
מה הטלפון שלהם,0,1,0.00%,5.0,NON_BRANDED
מה הכנסה,0,1,0.00%,66.0,NON_BRANDED
מה המהירות המרבית המותרת בחוק לאוטובוס זעיר פרטי בדרך מהירה,0,1,0.00%,35.0,NON_BRANDED
מה המהירות המרבית המותרת לטרקטור משא,0,1,0.00%,81.0,NON_BRANDED
מה המינימום מזונות לילד,0,1,0.00%,87.0,NON_BRANDED
מה המכס בישראל,0,2,0.00%,38.0,NON_BRANDED
"מה זה ""אימוץ בין ארצי"" בבקשת תעודת פלילי",0,6,0.00%,27.3,NON_BRANDED
מה זה cp,0,4,0.00%,39.0,NON_BRANDED
מה זה nso,0,2,0.00%,68.5,NON_BRANDED
מה זה tax office,0,1,0.00%,21.0,NON_BRANDED
מה זה tax office 10,0,1,0.00%,77.0,NON_BRANDED
מה זה uae,0,9,0.00%,12.3,NON_BRANDED
מה זה איחוד האמירויות,0,2,0.00%,45.5,NON_BRANDED
מה זה אפוסטיל,0,8,0.00%,41.5,NON_BRANDED
מה זה אפוסטיל משרד החוץ,0,1,0.00%,95.0,NON_BRANDED
מה זה ארנק ביטקוין,0,1,0.00%,56.0,NON_BRANDED
מה זה בג,0,1,0.00%,44.0,NON_BRANDED
מה זה בגץ,0,1,0.00%,63.0,NON_BRANDED
מה זה בידוד טיפתי,0,1,0.00%,62.0,NON_BRANDED
מה זה ביטוח דירה,0,1,0.00%,48.0,NON_BRANDED
מה זה ביטקוין,0,7,0.00%,76.6,NON_BRANDED
מה זה הגנה מן הצדק,0,1,0.00%,54.0,NON_BRANDED
מה זה הסכם epc,0,1,0.00%,59.0,NON_BRANDED
מה זה הסכם ממון,0,159,0.00%,45.4,NON_BRANDED
מה זה הרשעה,0,4,0.00%,45.8,NON_BRANDED
מה זה חדלות פירעון,0,2,0.00%,66.5,NON_BRANDED
מה זה חסוי,0,2,0.00%,18.0,NON_BRANDED
מה זה כרייה של ביטקוין,0,97,0.00%,50.3,NON_BRANDED
מה זה כריית ביטקוין,0,24,0.00%,28.1,NON_BRANDED
מה זה כריית קריפטו,0,3,0.00%,55.0,NON_BRANDED
מה זה לכרות ביטקוין,0,3,0.00%,38.3,NON_BRANDED
מה זה לצרציה,0,1,0.00%,39.0,NON_BRANDED
מה זה מס הכנסה,0,1,0.00%,67.0,NON_BRANDED
מה זה מספר תיק במס הכנסה,0,1,0.00%,90.0,NON_BRANDED
מה זה מש מ מס הכנסה,0,1,0.00%,6.0,NON_BRANDED
"מה זה מש""מ",0,1,0.00%,10.0,NON_BRANDED
מה זה משכיר,0,1,0.00%,12.0,NON_BRANDED
מה זה משפט,0,1,0.00%,22.0,NON_BRANDED
מה זה ערכאה שיפוטית,0,2,0.00%,19.0,NON_BRANDED
מה זה צליעה אנטלגית,0,2,0.00%,41.0,NON_BRANDED
מה זה קומה מפולשת,0,1,0.00%,74.0,NON_BRANDED
מה זה רשלנות רפואית,0,2,0.00%,37.5,NON_BRANDED
מה זה רשם בית משפט,0,3,0.00%,77.7,NON_BRANDED
מה זה שוכר,0,13,0.00%,9.3,NON_BRANDED
מה זה שוכר ומה זה משכיר,0,4,0.00%,11.3,NON_BRANDED
מה זה שופט,0,2,0.00%,1.0,NON_BRANDED
מה זה תמרור 216,0,2,0.00%,54.5,NON_BRANDED
מה זה תמרור 426,0,1,0.00%,75.0,NON_BRANDED
מה זה תשניק,0,3,0.00%,10.3,NON_BRANDED
מה חשוב בחוזה עם קבלן,0,7,0.00%,8.6,NON_BRANDED
מה חשוב בחוזה שכירות,0,1,0.00%,71.0,NON_BRANDED
מה יותר משתלם,0,1,0.00%,1.0,NON_BRANDED
מה כדאי לקנות בדרום אפריקה,0,1,0.00%,88.0,NON_BRANDED
מה מגיע לאישה בגירושים,0,2,0.00%,89.5,NON_BRANDED
מה סכום מזונות לילד,0,171,0.00%,72.4,NON_BRANDED
מה עדיף חבר מושבעים או שופט,0,2,0.00%,34.5,NON_BRANDED
מה פירוש המשפט,0,4,0.00%,12.5,NON_BRANDED
מהו ביטקוין,0,1,0.00%,64.0,NON_BRANDED
מהו בית,0,3,0.00%,48.3,NON_BRANDED
מהו גיוס עובדים,0,1,0.00%,95.0,NON_BRANDED
מהו הסכם ממון,0,33,0.00%,50.8,NON_BRANDED
מהו משפט,0,2,0.00%,25.0,NON_BRANDED
מהי המהירות המרבית המותרת לאופנוע בדרך עירונית,0,1,0.00%,71.0,NON_BRANDED
מהי הסכנה המידית הנגרמת,0,1,0.00%,51.0,NON_BRANDED
מהי חברת הטיסות השכר הטובה ביותר מבחינת שירות לקוחות אמין במקרה של עיכובים בטיסות?,0,1,0.00%,3.0,NON_BRANDED
מהי רשלנות רפואית,0,23,0.00%,47.3,NON_BRANDED
מהי תקנה 357 לתקנות התעבורה?,0,2,0.00%,24.5,NON_BRANDED
מוהר ונדוניה,0,2,0.00%,37.5,NON_BRANDED
מומחה לדיני עבודה,0,2,0.00%,95.5,NON_BRANDED
מומחה מחשבים לייעוץ משפטי,0,1,0.00%,82.0,NON_BRANDED
מומחה+משפטי,0,1,0.00%,62.0,NON_BRANDED
מוסטן,0,1,0.00%,24.0,NON_BRANDED
מוסך יורם ובניו באר שבע,0,1,0.00%,44.0,NON_BRANDED
מוסך סאמר עכו,0,1,0.00%,47.0,NON_BRANDED
מועד הגשת סיכומי תשובה,0,2,0.00%,18.0,NON_BRANDED
מוקד הסיוע המשפטי,0,1,0.00%,44.0,NON_BRANDED
מוקד מס הכנסה,0,2,0.00%,30.5,NON_BRANDED
מוקד ניכויים מס הכנסה,0,1,0.00%,31.0,NON_BRANDED
מורשים לעסוק ברפואה,0,2,0.00%,18.0,NON_BRANDED
מושגים חדלות פירעון,0,18,0.00%,46.3,NON_BRANDED
מותב בית משפט,0,1,0.00%,58.0,NON_BRANDED
מזה אפוסטיל,0,2,0.00%,71.0,NON_BRANDED
מזה בגץ,0,2,0.00%,77.5,NON_BRANDED
מזה חסוי,0,3,0.00%,89.0,NON_BRANDED
מזה מס הכנסה,0,1,0.00%,70.0,NON_BRANDED
מזהה פנקס מס הכנסה ניכויים,0,4,0.00%,53.5,NON_BRANDED
מזונות אישה ידועים בציבור,0,3,0.00%,68.7,NON_BRANDED
מזונות אלמנה,0,14,0.00%,23.1,NON_BRANDED
מזונות במשמורת משותפת פסק דין,0,1,0.00%,57.0,NON_BRANDED
מזונות ידועים בציבור,0,1,0.00%,82.0,NON_BRANDED
מזונות ילדים בגירושין,0,1,0.00%,78.0,NON_BRANDED
מזונות ילדים חישוב,0,68,0.00%,44.5,NON_BRANDED
מזונות ילדים סכום,0,39,0.00%,65.3,NON_BRANDED
מזונות ילדים עם צרכים מיוחדים,0,2,0.00%,76.0,NON_BRANDED
מזונות כמה משלמים,0,39,0.00%,73.9,NON_BRANDED
מזונות ל2 ילדים,0,27,0.00%,77.0,NON_BRANDED
מזונות ל4 ילדים,0,26,0.00%,70.5,NON_BRANDED
מזונות לילד אחד,0,1,0.00%,47.0,NON_BRANDED
מזונות לילד עתודאי,0,2,0.00%,95.0,NON_BRANDED
מזונות לשני ילדים,0,8,0.00%,83.8,NON_BRANDED
מזונות עבור 2 ילדים,0,38,0.00%,64.7,NON_BRANDED
מזונות על 2 ילדים,0,16,0.00%,63.0,NON_BRANDED
מזרחי טפחות ליסינג בירור יתרה,0,1,0.00%,59.0,NON_BRANDED
מחיקת רישום bdi,0,1,0.00%,79.0,NON_BRANDED
מחיר ייפוי כוח מתמשך,0,1,0.00%,16.0,NON_BRANDED
מחיר מכירת דירה,0,1,0.00%,39.0,NON_BRANDED
מחיר עורך דין גירושין,0,80,0.00%,80.8,NON_BRANDED
מחיר עורך דין מכירת דירה,0,3,0.00%,33.7,NON_BRANDED
מחיר עורך דין רשלנות רפואית,0,4,0.00%,29.0,NON_BRANDED
מחירון עורך דין גירושין,0,1,0.00%,95.0,NON_BRANDED
מחפש עורך דין,0,2,0.00%,5.0,NON_BRANDED
מחשבון איחור במסירה,0,1,0.00%,36.0,NON_BRANDED
מחשבון גירושין,0,30,0.00%,25.6,NON_BRANDED
מחשבון דמי ביגוד 2024,0,1,0.00%,34.0,NON_BRANDED
מחשבון דמי היוון,0,2,0.00%,69.5,NON_BRANDED
מחשבון דמי מזונות,0,3,0.00%,44.7,NON_BRANDED
מחשבון הורות משותפת,0,1,0.00%,25.0,NON_BRANDED
מחשבון הערכת שווי דירה,0,1,0.00%,26.0,NON_BRANDED
מחשבון השקעות,0,5,0.00%,65.4,NON_BRANDED
מחשבון מזונות,0,22,0.00%,32.6,NON_BRANDED
מחשבון מזונות הורות משותפת,0,12,0.00%,27.9,NON_BRANDED
מחשבון מזונות ילדים,0,25,0.00%,28.5,NON_BRANDED
מחשבון מזונות עד גיל 6,0,1,0.00%,65.0,NON_BRANDED
מחשבון מס 2023,0,2,0.00%,92.0,NON_BRANDED
מחשבון מס רכישה דירה ראשונה,0,1,0.00%,53.0,NON_BRANDED
מחשבון משפטי חינם,0,1,0.00%,77.0,NON_BRANDED
מחשבון נדלן,0,4,0.00%,72.3,NON_BRANDED
מחשבון שווי דירה רשות המיסים,0,1,0.00%,35.0,NON_BRANDED
מחשבון שיפוצים מידרג,0,1,0.00%,46.0,NON_BRANDED
מחשבון תשואה נדלן,0,1,0.00%,96.0,NON_BRANDED
מי זאת בית משפט,0,45,0.00%,6.0,NON_BRANDED
מי זה השוכר ומי המשכיר,0,6,0.00%,10.0,NON_BRANDED
מי משלם מס הכנסה,0,1,0.00%,71.0,NON_BRANDED
מי משלם על חוזה שכירות,0,1,0.00%,36.0,NON_BRANDED
מי צריך לשלם מס הכנסה,0,1,0.00%,70.0,NON_BRANDED
מי רשאי לנהוג ברכב ביטחון וברכב חילוץ,0,1,0.00%,74.0,NON_BRANDED
מי רשאי לערוך ייפוי כוח מתמשך,0,1,0.00%,94.0,NON_BRANDED
מידע נדלן מס שבח,0,1,0.00%,43.0,NON_BRANDED
מיון נשים לין שעות קבלה,0,1,0.00%,19.0,NON_BRANDED
מיטב - חנות ציוד משרדי לעסקים תל אביב,0,1,0.00%,39.0,NON_BRANDED
מייל רשות המיסים,0,1,0.00%,22.0,NON_BRANDED
מייל של רשות המיסים,0,1,0.00%,65.0,NON_BRANDED
מיכל ברגר בלום,0,12,0.00%,10.3,NON_BRANDED
מיכל דואני בהירי,0,1,0.00%,31.0,NON_BRANDED
מימון הליכי גירושין,0,1,0.00%,97.0,NON_BRANDED
מינוי מומחה מטעם בית המשפט,0,1,0.00%,41.0,NON_BRANDED
מינוי מנהל עזבון,0,3,0.00%,54.7,NON_BRANDED
מינוי מנהל עיזבון,0,1,0.00%,70.0,NON_BRANDED
מינוי עד מומחה מטעם בית המשפט,0,2,0.00%,74.5,NON_BRANDED
מינימום מזונות לילד 2023,0,1,0.00%,25.0,NON_BRANDED
מיסוי בישראל,0,45,0.00%,70.9,NON_BRANDED
מיסוי בפורטוגל,0,1,0.00%,88.0,NON_BRANDED
"מיסוי נדל""ן",0,42,0.00%,77.5,NON_BRANDED
"מיסוי נדל""ן בפורטוגל",0,3,0.00%,71.0,NON_BRANDED
מיסוי פלילי,0,5,0.00%,90.6,NON_BRANDED
מיסים,0,1,0.00%,30.0,NON_BRANDED
מיסים בישראל,0,10,0.00%,30.2,NON_BRANDED
מיקום מצלמות עין הנץ,0,2,0.00%,38.5,NON_BRANDED
מירוץ סמכויות,0,1,0.00%,83.0,NON_BRANDED
מירי פרנקל שור,0,3,0.00%,49.0,NON_BRANDED
מכבי כיבוד מרשמים מבית חולים מעייני הישועה,0,1,0.00%,44.0,NON_BRANDED
מכון מחקר כנסת,0,1,0.00%,84.0,NON_BRANDED
מכונה ניידת אופנית,0,1,0.00%,68.0,NON_BRANDED
מכונה ניידת זחלית,0,1,0.00%,48.0,NON_BRANDED
מכירת ביטקוין,0,7,0.00%,50.3,NON_BRANDED
מכירת בית בגירושין,0,36,0.00%,43.7,NON_BRANDED
מכירת דירה בגירושין,0,34,0.00%,46.5,NON_BRANDED
מכירת דירה עורכי דין,0,48,0.00%,74.8,NON_BRANDED
מכס אילת שעות פעילות,0,1,0.00%,62.0,NON_BRANDED
מכס ומעמ,0,1,0.00%,48.0,NON_BRANDED
מכס תושב חוזר,0,1,0.00%,47.0,NON_BRANDED
מכתב בקשה להסדר חוב דוגמא,0,1,0.00%,16.0,NON_BRANDED
מכתב גירושים,0,3,0.00%,83.3,NON_BRANDED
מכתב גירושין,0,72,0.00%,30.8,NON_BRANDED
מכתב התראה לקבלן איחור במסירה,0,61,0.00%,62.2,NON_BRANDED
מלונות עם מרפסת בסיאטל,0,1,0.00%,29.0,NON_BRANDED
ממונה חדלות פירעון,0,1,0.00%,94.0,NON_BRANDED
ממונה על חדלות פירעון,0,1,0.00%,65.0,NON_BRANDED
ממסי תל אביב רישיון בינלאומי,0,1,0.00%,92.0,NON_BRANDED
מנוע חיפוש אנשים,0,1,0.00%,59.0,NON_BRANDED
מנועי חיפוש טורנט,0,1,0.00%,69.0,NON_BRANDED
מנתח פלסטי,0,43,0.00%,86.0,NON_BRANDED
מנתח פלסטי בירושלים,0,3,0.00%,43.3,NON_BRANDED
מנתח פלסטי בתל אביב,0,1,0.00%,38.0,NON_BRANDED
מנתח פלסטי להזרקות,0,2,0.00%,82.0,NON_BRANDED
מנתחים פלסטיים,0,4,0.00%,39.5,NON_BRANDED
מנתחים פלסטיים בירושלים,0,1,0.00%,69.0,NON_BRANDED
מנתחים פלסטיים הכי טובים בארץ,0,8,0.00%,24.8,NON_BRANDED
מנתחת פלסטית,0,12,0.00%,42.6,NON_BRANDED
מס בישראל,0,1,0.00%,78.0,NON_BRANDED
מס ה,0,1,0.00%,11.0,NON_BRANDED
מס הכ,0,1,0.00%,34.0,NON_BRANDED
מס הכנזה,0,1,0.00%,75.0,NON_BRANDED
מס הכנס,0,3,0.00%,38.3,NON_BRANDED
מס הכנסה,0,108,0.00%,40.6,NON_BRANDED
מס הכנסה אזור,0,1,0.00%,45.0,NON_BRANDED
מס הכנסה בישראל,0,4,0.00%,24.0,NON_BRANDED
מס הכנסה גביה,0,6,0.00%,20.3,NON_BRANDED
מס הכנסה גבייה,0,1,0.00%,58.0,NON_BRANDED
מס הכנסה דירות שנמכרו,0,4,0.00%,38.5,NON_BRANDED
מס הכנסה הסבר,0,2,0.00%,60.0,NON_BRANDED
מס הכנסה טלפון לבירורים,0,2,0.00%,49.0,NON_BRANDED
מס הכנסה ישראל,0,1,0.00%,34.0,NON_BRANDED
מס הכנסה מגדלי נצרת שעות פתיחה,0,1,0.00%,66.0,NON_BRANDED
מס הכנסה מה זה,0,1,0.00%,58.0,NON_BRANDED
מס הכנסה מוקד,0,2,0.00%,25.5,NON_BRANDED
מס הכנסה מוקד ארצי,0,1,0.00%,27.0,NON_BRANDED
מס הכנסה מחלקת גביה,0,1,0.00%,23.0,NON_BRANDED
מס הכנסה מענה אנושי,0,1,0.00%,100.0,NON_BRANDED
מס הכנסה מעסיקים,0,1,0.00%,24.0,NON_BRANDED
מס הכנסה מפל,0,4,0.00%,19.8,NON_BRANDED
מס הכנסה מרכז מידע,0,2,0.00%,91.0,NON_BRANDED
מס הכנסה נדלן,0,3,0.00%,41.3,NON_BRANDED
מס הכנסה ניכויים,0,47,0.00%,49.7,NON_BRANDED
מס הכנסה עובדים,0,1,0.00%,53.0,NON_BRANDED
מס הכנסה פיצויים,0,2,0.00%,44.0,NON_BRANDED
מס הכנסה פקיד שומה,0,1,0.00%,31.0,NON_BRANDED
מס הכנסה צאט,0,1,0.00%,55.0,NON_BRANDED
מס הכנסה רשות המיסים,0,2,0.00%,15.0,NON_BRANDED
מס הכנסה שאלות,0,1,0.00%,11.0,NON_BRANDED
מס הכנסה שומה,0,2,0.00%,41.0,NON_BRANDED
מס הכנסה שיוך ישובים,0,1,0.00%,81.0,NON_BRANDED
מס הכנסה תלונות הציבור,0,1,0.00%,33.0,NON_BRANDED
מס הכנסהה,0,2,0.00%,35.0,NON_BRANDED
מס הכסנה,0,1,0.00%,58.0,NON_BRANDED
מס טלפון רשות המיסים,0,2,0.00%,70.5,NON_BRANDED
מס מכס,0,2,0.00%,45.5,NON_BRANDED
מס נדל ן,0,1,0.00%,67.0,NON_BRANDED
מס ניכויים,0,1,0.00%,87.0,NON_BRANDED
מס על נדל ן,0,8,0.00%,27.0,NON_BRANDED
מס על נדלן,0,33,0.00%,59.1,NON_BRANDED
מס רכישה לתושב חוזר,0,1,0.00%,48.0,NON_BRANDED
מס שבח דירה יחידה מחשבון,0,1,0.00%,40.0,NON_BRANDED
מס שבח מידע נדלן,0,1,0.00%,26.0,NON_BRANDED
מס שבח מקרקעין,0,23,0.00%,48.2,NON_BRANDED
מס שבח נדלן,0,1,0.00%,25.0,NON_BRANDED
מס שבח על שטח,0,1,0.00%,73.0,NON_BRANDED
מס שומה,0,15,0.00%,44.3,NON_BRANDED
מס תיק במס הכנסה,0,1,0.00%,68.0,NON_BRANDED
מס+הכנסה,0,5,0.00%,34.8,NON_BRANDED
מסי יבוא מסחרי,0,2,0.00%,26.5,NON_BRANDED
מסים בישראל,0,4,0.00%,25.8,NON_BRANDED
מסים ישראל,0,1,0.00%,29.0,NON_BRANDED
מסירת דירה מקבלן לפני טופס 4,0,14,0.00%,62.6,NON_BRANDED
מסירת ידיעה סודית,0,1,0.00%,63.0,NON_BRANDED
מסירת כתבי בי דין,0,1,0.00%,93.0,NON_BRANDED
מסמכי אימוץ,0,1,0.00%,47.0,NON_BRANDED
מסמכי גירושים,0,4,0.00%,61.0,NON_BRANDED
מספר טלפון רשות המיסים,0,2,0.00%,67.5,NON_BRANDED
מספר מס הכנסה,0,3,0.00%,20.7,NON_BRANDED
מספר רישוי רופאים,0,2,0.00%,21.0,NON_BRANDED
מספר רישיון משרד הבריאות,0,2,0.00%,34.0,NON_BRANDED
מספר רישיון סיעוד,0,1,0.00%,49.0,NON_BRANDED
מספר רשות המיסים,0,1,0.00%,12.0,NON_BRANDED
מספר של המכס,0,2,0.00%,91.0,NON_BRANDED
מספר של מס הכנסה,0,1,0.00%,12.0,NON_BRANDED
מספר של רשות המיסים,0,2,0.00%,72.5,NON_BRANDED
מספר תיק מס הכנסה,0,1,0.00%,31.0,NON_BRANDED
מספר תיק ניכויים מס הכנסה,0,1,0.00%,65.0,NON_BRANDED
"מע""מ באר שבע",0,1,0.00%,99.0,NON_BRANDED
מעורב ממן אשקלון,0,1,0.00%,58.0,NON_BRANDED
מעורב של ממן אשקלון,0,1,0.00%,33.0,NON_BRANDED
מענה טלפוני מס הכנסה,0,2,0.00%,57.0,NON_BRANDED
מענקי בניה לקבלנים,0,3,0.00%,29.0,NON_BRANDED
מעצב אתרים שכר,0,14,0.00%,73.7,NON_BRANDED
מערכת המשפט,0,3,0.00%,34.0,NON_BRANDED
מערכת המשפט בישראל,0,1,0.00%,44.0,NON_BRANDED
מערכת המשפט בישראל סיכום,0,1,0.00%,60.0,NON_BRANDED
מערכת ייפוי כוח מתמשך,0,1,0.00%,84.0,NON_BRANDED
מערכת יפוי כח מתמשך,0,1,0.00%,54.0,NON_BRANDED
"מערכת מפ""ל",0,1,0.00%,60.0,NON_BRANDED
מערכת מפל מס הכנסה,0,1,0.00%,19.0,NON_BRANDED
מעשה מגונה בקטין,0,1,0.00%,92.0,NON_BRANDED
מעשה סדום בנסיבות אינוס,0,1,0.00%,56.0,NON_BRANDED
מפ ל מס הכנסה,0,2,0.00%,22.5,NON_BRANDED
"מפ""ל רשות המיסים",0,1,0.00%,36.0,NON_BRANDED
מפחת,0,1,0.00%,87.0,NON_BRANDED
מפל מס הכנסה,0,16,0.00%,22.2,NON_BRANDED
מפל רשות המיסים,0,3,0.00%,17.0,NON_BRANDED
מפל רשות המסים,0,1,0.00%,44.0,NON_BRANDED
מפתח אתרים,0,1,0.00%,52.0,NON_BRANDED
מצא עורך דין,0,21,0.00%,12.5,NON_BRANDED
מצגת חוק זכויות החולה,0,1,0.00%,59.0,NON_BRANDED
מצוקה נשימתית אצל תינוקות,0,3,0.00%,95.7,NON_BRANDED
מציאת כתב אישום,0,1,0.00%,70.0,NON_BRANDED
מציעה או מציע,0,1,0.00%,95.0,NON_BRANDED
"מקדמות למס הכנסה בארה""ב",0,1,0.00%,41.0,NON_BRANDED
מקוניום לאחר לידה,0,1,0.00%,57.0,NON_BRANDED
מקטע qt,0,2,0.00%,63.0,NON_BRANDED
מקרה של פגיעה בזכות לפרטיות,0,5,0.00%,65.2,NON_BRANDED
מקרים של רשלנות רפואית,0,220,0.00%,54.9,NON_BRANDED
מר זכות חוות דעת,0,1,0.00%,64.0,NON_BRANDED
"מרב""ד משרד החינוך",0,1,0.00%,25.0,NON_BRANDED
מרדכי וחדי שופט,0,1,0.00%,1.0,NON_BRANDED
מרוץ הסמכויות,0,1,0.00%,91.0,NON_BRANDED
מרוץ הסמכויות בגירושין,0,3,0.00%,72.3,NON_BRANDED
מרוץ סמכויות בגירושין,0,3,0.00%,87.3,NON_BRANDED
מרכז סרכוז כללית,0,1,0.00%,68.0,NON_BRANDED
מרשם עורכי דין,0,1,0.00%,36.0,NON_BRANDED
מרתף אנגלי,0,1,0.00%,99.0,NON_BRANDED
משאית תעבורה,0,1,0.00%,74.0,NON_BRANDED
משה גליקסמן איש עסקים,0,1,0.00%,79.0,NON_BRANDED
משה זדה,0,1,0.00%,75.0,NON_BRANDED
משחק כרום דינו מקוון,0,1,0.00%,37.0,NON_BRANDED
"משטרת הגבולות נתב""ג",0,1,0.00%,69.0,NON_BRANDED
משטרת ישראל פלילים,0,3,0.00%,55.3,NON_BRANDED
"משכנתא לעסקאות נדל""ן",0,5,0.00%,66.8,NON_BRANDED
משמורת,0,48,0.00%,76.5,NON_BRANDED
משמורת בלעדית,0,4,0.00%,20.5,NON_BRANDED
משמורת בלעדית לאם,0,107,0.00%,9.6,NON_BRANDED
משמורת ילדים,0,492,0.00%,49.6,NON_BRANDED
משמורת ילדים בגירושין,0,42,0.00%,84.3,NON_BRANDED
משמורת מלאה,0,11,0.00%,73.5,NON_BRANDED
משמורת משותפת מאיזה גיל,0,64,0.00%,89.8,NON_BRANDED
משמורת על הילדים,0,2,0.00%,30.5,NON_BRANDED
משמורת על ילדים,0,23,0.00%,37.2,NON_BRANDED
משמורת על תינוק,0,1,0.00%,39.0,NON_BRANDED
משפחה מאמצת,0,1,0.00%,75.0,NON_BRANDED
משפט,0,14,0.00%,42.6,NON_BRANDED
משפט ימי,0,27,0.00%,32.1,NON_BRANDED
משפט ליפשיץ,0,1,0.00%,86.0,NON_BRANDED
משפט פירוש,0,1,0.00%,39.0,NON_BRANDED
משפט פלילי,0,28,0.00%,46.0,NON_BRANDED
משפטי,0,7,0.00%,63.9,NON_BRANDED
משפטית,0,2,0.00%,57.0,NON_BRANDED
משק ממן,0,1,0.00%,90.0,NON_BRANDED
משרד האוצר רשות המיסים,0,2,0.00%,31.5,NON_BRANDED
משרד האוצר רשות המיסים טלפון,0,1,0.00%,85.0,NON_BRANDED
משרד האוצר רשות המסים,0,1,0.00%,33.0,NON_BRANDED
משרד הבריאות אגף רישוי,0,2,0.00%,81.5,NON_BRANDED
משרד הבריאות רשיון רופאים,0,2,0.00%,43.0,NON_BRANDED
משרד הבריאות תעודות,0,1,0.00%,94.0,NON_BRANDED
משרד הדתות פניות הציבור,0,1,0.00%,52.0,NON_BRANDED
משרד המשפטים אפוסטיל,0,1,0.00%,44.0,NON_BRANDED
משרד המשפטים סיוע משפטי,0,3,0.00%,28.3,NON_BRANDED
משרד התמ ת טבלת דרגות,0,1,0.00%,43.0,NON_BRANDED
משרד עוכי דין,0,3,0.00%,59.0,NON_BRANDED
משרד עורך דין,0,2,0.00%,38.0,NON_BRANDED
משרד עורכי דין,0,52,0.00%,52.9,NON_BRANDED
